"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success"
"pavlovia","0","2592","0.0-0.0","null","digit-span","true","0",""
"fullscreen","1","9244","0.0-1.0","null","digit-span","true","0","true"
