"trial_type","trial_index","time_elapsed","internal_node_id","subject","order","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2807","0.0-0.0","1293","1","digit-span","false","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","6281","0.0-1.0","1293","1","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","11668","0.0-2.0-0.0","1293","1","digit-span","true","0","","5384","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","18162","0.0-2.0-1.0","1293","1","digit-span","true","0","","6492","","","instruction","[{""page_index"":0,""viewing_time"":6491}]","","","","","","","","","","","","","",""
"instructions","4","25273","0.0-2.0-2.0","1293","1","digit-span","true","0","","6106","","","instruction","[{""page_index"":0,""viewing_time"":6106}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","27305","0.0-3.0-0.0","1293","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","30714","0.0-3.0-1.0","1293","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","33997","0.0-3.0-2.0","1293","1","digit-span","true","0","","3281","","","response","","","","","","3281","1000","test","2,9","2","SubmitButton","3281","2,9","forward","true"
"html-keyboard-response","8","35012","0.0-3.0-3.0","1293","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","38422","0.0-3.0-4.0","1293","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
